Review Text,Date,Star Rating,Total Films Reviewed,Reviews This Year,Following,Followers
"""Un gran hombre no busca liderar, está llamado a ello.""Para ser una introducción a este universo, me gustó. Está claro que no es una película sencilla, iba con mi primo y se durmió y también mucha gente sacaba mucho es celular.Personalmente la disfruté, Denis Villeneuve confirma que es de los mejores directores actualmente, gran manera de hacer lucir mucho visualmente a esta película y ni que decir del gran Hans Zimmer, lo de siempre, excelente, algunas partes el…",27 Oct 2021,7,676,36,1020,1020
"If you caught me out on those mean playground streets of 1993, chances are I was playing with myStretch Armstrongdoll. Or maybe I was playing with the far superior doll for Stretch’s arch-nemesis,Vac-Man, who had a much more satisfying inner stretchy texture…something like sand was inside him. (Spice?)And all while taking in this version of Dune, I couldn’t help but imagine Denis holding one of Stretch or Vac-Man’s arms, and Warner Bros. holding the other, as they pulled and…",24 Oct 2021,4,1687,74,1295,1687
"I will start by saying, if you have the ability to see this in IMAX, do it. Absolutely immersive from the soundtrack to the visuals.Denis Villeneuve continues to prove why he is one of the best working directors. His ability to handle the scope and magnitude of such a project likeDuneis intimidating and he doesn’t even break a sweat. He is able to make us believe in this fictitious world and get engrossed in the world of…",24 Oct 2021,0,2115,67,1818,2115
"It really is THAT good.First thing’s first, it is a necessity to watch this on a big screen, preferably IMAX. Much like sand in your sleeping bag at a camping trip,Duneis able to reach into every little crevice of your being. Even with the people behind me constantly kicking my seat and the people beside me being on Instagram and talking loudly in French for a solid hour, The majesty ofDunecannot be suppressed.CallingDune…",23 Oct 2021,9,1406,19,103,1406
"With every subsequent viewing ofDune, I find myself further appreciating the layers of each cast member’s performance and admiring how there isn’t a single soul who isn’t giving theirall. We haven’t seen an ensemble of this caliber in a genre film sinceThe Lord of the Rings. Take note, SAG.It’s criminal that Chalamet and Ferguson aren’t considered SHOO-INS for their respective categories all awards season. Each actor nailseverymoment of their emotional arc (the tent scene?…",22 Oct 2021,0,4812,21,512,4812
"zendaya the woman of my dreams tooi was more engrossed in this movie than i anticipated, beautiful cinematography, the acting was great across the board, timothee and rebecca were really good i loved their powers, the worldbuilding is done well, definitely only a part one but i’ll be waiting for the sequel",22 Oct 2021,0,1434,2,907,1434
"idk, at some point I shushed a group of loud teens in the theater and that was more intense than the movie but....oscar isaac....oscar isaac. oscar isaac! oscar! isaac! OSCAR ISAAC. oscar, isaac, isaac, oscar... oscar isaac... OSCAR ISAAC!!!",18 Sep 2021,6,2319,79,580,2319
SOMEBODY HELP ME PLEASE,12 Feb 2024,0,1262,51,285,1262
political clash of clans,11 Feb 2024,9,607,45,214,0
7.7Road to Dune Part Two #1 - DuneIf part two is bad there’s nothing worth living for anymoreThat preview 😳,08 Feb 2024,8,699,48,768,0
"Can’t say I’m that excited for Dune Part II, mostly because I still have yet to give a Villeneuve film more than 4 stars, but I am holding out hope that it’s better that Dune Part I. Honestly, this was difficult to get through. I previously had this at a 3.5. When I saw this in theaters back in 2021, it was mildly engaging to me. Now, it was a rather dull experience. The visual spectacle of it all is…",27 Jan 2024,6,3187,87,534,3187
"yep, still incredible. just checking!part 2 can’t come quick enough",20 Sep 2022,0,1942,27,152,1942
"Rewatched at home on the 4k tv before its hbo run ended, immediately had to throw on my headphones because there's no way I could have turned up my speakers loud enough for Dune while my wife and kid slept. Maybe it's a downside for some people that the movie demands a high intensity sensory experience for its full effect, but I think it's great that it actually thrives on a bigger soundstage instead of merely sounding louder. Not every…",20 Nov 2021,8,3196,25,404,3196
"It is impossible for me to be objective about this movie. Denis Villeneuve is my favorite director, big budget sci-fi is my favorite genre, the cast is stacked, how could I possibly be objective about this movie?I had to see it twice and then give it a week before I decided where to place this on mylist of every movie I've seen ranked from favorite to least favorite. And yeah,Duneis a top 10 favorite of all time for…",01 Nov 2021,0,1985,24,257,1985
"Dreaming with the eyes open.Impressively massive-scaled sci-fi that through an elegant visual economy renders the reality of the universe captivating instead of disorienting, threading the line between the mostly appealing yet somewhat convoluted dynamics of hard fantasy storytelling and the unmissable, straightforward parallels to actual history. The statement that it's nothing more than a glorified introduction to part 2 isn't exactly inaccurate, but the constant and logical concoction of these several pockets of tension, all delivered with the cinematic…",29 Oct 2021,9,3557,19,412,3557
"""when is a gift not a gift?""a breathing, oscillating piece of brutalist cine-drone that makes good on its promises to be poetically granular and agonizingly monolithic.The transition from feudal interstellar squabbles within war & artificiality to>>>>~~~~:::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::the submission to tranmissions from the organicfeels like the film tuning its own radio and compasses into an unknown known. Paul's visions being repaired by a changing destiny he still cant control despite its movement. or as the Fremen says:""The…",26 Oct 2021,9,5725,59,104,5725
"I serve only 1 master his name is shai halud!1st time IMAX2nd time - Watching it again at home cuz it’s so good#1 for 2021 -boxd.it/aObf8Such amazing effects and soundtrack , just an experience ❤️Josh Brolin, Jason mamoa & oscar isaacs !!! denis Villanueve cast some of my favorite crushes 😍😍😍😍I love the random jokes they land so perfectlyLoved seeing it at home with subtitles and all the weird words",23 Oct 2021,0,3597,26,1194,3597
"i, too, randomly think about zendaya any time of the day.say whatever you want about dune, one can’t deny how visually captivating it is. extensively stunning cinematography and epic filmmaking on a broad scale, i felt transported to another world. the use of sound (and also lack thereof) is done expertly and very engaging—as usual, hans zimmer and his scores did not disappoint. although the direction, cinematography, and film scoring do deserve the praise, i’d also like to extend…",23 Oct 2021,8,393,5,671,1040
"a desert, seemingly endless. life; frail and volatile, living in the dry cracks and nooks of the world. pale cities leeching from the land, immense and beatific, cruel with their extractions, merciless in their rapacity, stained with the endless touch of grit.a family, old and powerful. an enemy, just as old and powerful. friends who are not friends. observers and protocols. ancient religions and powerful prophesies allies who give of their life’s blood to protect the next generation, the…",22 Oct 2021,0,3422,52,41,3422
"Villeneuve has once again crafted an awe inspiring sci-fi epic for the ages. In a galaxy far far away a young hero gifted with superhuman mental powers braves a dangerous sand world and faces his destiny - May the Voice be with You. Yeah yeah the Star Wars parallels were unavoidable, heck at one point Paul was instructed as per Yoda to ""Remember your training"". Regardless, I was transfixed for what I'm told was a long runtime. I loved the…",21 Oct 2021,0,1506,35,401,1506
zendaya for the entire movie: 🧿🧿,01 Feb 2024,7,573,21,66,15572
"I apologize to everyone for my stupidity. The film is brilliant it works, everything clicked this time around.All of the bad omens, Paul quite literally getting high in his own supply, the false prophet stuff, weaponizing that against people to get what they want. It really really really clicked. And i finally got SO so much of the world building and power dynamics. It’s all there and I think I’m finally in full agreement that it’s a far superior…",13 Nov 2021,9,740,15,89,1842
"Today I attended my first big-screen film since February, 2020...and I chose ""Dune"" in IMAX. Incidentally it was also the first time I've trotted out my new 20-20 cataract and glasses free eyes to a public screening. Yay, me! It bodes well for the rest of my life watching movies.As for the film, I couldn't have picked a better one for my return big-screen voyage. Director Denis Villeneuve has delivered a true auteur work of art: elegant, subtle, stimulating…",27 Oct 2021,9,10244,40,798,10244
i'm still thinking about this movie….,27 Oct 2021,0,1136,4,387,1136
Art house Star Wars…FULL-LENGTH DUNE REVIEW2021 RANKED,22 Oct 2021,8,1209,11,320,1209
"Yes, I have already seen it in the theatre before. No, this will not be the last time I watch this MASTERPIECE again.",23 Oct 2021,0,1694,20,17667,1694
"denis villeneuve anddunewere a match made in heaven. the cinematography was as breathtaking as you've come to expect in any film of his, with a score alongside it to create a spectacle of epic proportions. perfectly cast from top to bottom, yet rebecca ferguson's performance was the one that really stood out to me. she was the heartbeat of the film. not only doesdunegrip you from beginning to end, but it leaves you wanting more as well. this is how you do a modern day epic.this is only the beginning.",22 Oct 2021,9,1394,52,528,1394
"Finally the wait is over..I will probably be seen as bias (and maybe i am) cause i'm a big fan of the original Frank Herbert novel, which i've read 3 times in the past six years or so plus also listened to the amazing audiobook. But really, what an incredible powerful film Dune (part one) has become. I was honestly quite worried as it is a difficult story to film. Which has allready been tried in the past (to…",16 Oct 2021,9,1468,3,896,1468
A sci-fi epic unlike any other this century.,21 Oct 2021,0,1748,17,7238,1748
4.1 GTFO !!Insert Anakin Sand Quote,18 Oct 2021,0,7559,113,3614,7559
An absolute technical masterpiece. Massive and mesmerizing scale that will leave you in awe. Some of the story elements lack and it very much is a part 1,11 Sep 2021,9,225,7,37,0
"A long time ago, in a galaxy far, far away... there were a lot of desktop screensavers and a very inconclusive and messy plot.Perhaps it will improve as a grandiose cinematic opera to be conceived with its upcoming sequel(s), but so far it doesn’t quite work as a stand-alone movie. Lots of fireworks that alas don’t explode.",04 Sep 2021,4,3549,89,84,3549
Dune is a cinematic thunderclap. Maybe my favorite film of the year.Denis Villeneuve and company created a phenomenal adaptation of the first half of Herbert's work. It feels alien in the way the best sci-fi does and balances visceral violence and cruelty with resilience and hope. An absolute banger.Fingers crossed we'll get both Part 2 and his planned adaptation of Dune Messiah too.,31 Aug 2021,0,110,2,34,0
Just got to see it in IMAX and I liked it way more the 2nd time watching it!,09 Feb 2024,0,261,32,815,1157
"Literally fuck past Griffin for every negative thing he ever said about this movie. I just 🤦🏼‍♂️ Embarrassing for me.I’ve come to appreciate so so so much of the writing for this film. The script is incredible. It gets overshadowed by the towering sensory experiences but good god, they understood the perfect way to establish a world without inundating the audience with exposition and too much detail. It all stems from the characters and everything is fleshed out from…",18 Mar 2022,9,740,15,89,1842
"An easy film to admire - Villeneuve is a canny creator of spectacle, the scale of this is (as it likes to constantly remind you) absolutely immense, the cast is uniformly excellent in my opinion and do a great job and giving personality to characters whom aren't given much by the script - but also kind of punishing to watch. The atmosphere is so oppressively austere, not to mention the film feels about 10 hours long and isstillonly…",02 Dec 2021,7,2868,21,664,2868
"My desert. My Arrakis. My Dune. I have a confession @Matt Santola, I lied to you and watched this on HBO last week. Then I went and saw it in IMAX again last night, and I am so damn glad I did. It was just an incredible and immersive bodily experience. I need to make a list of movies that are MUST SEE in IMAX, and this one might top the list. Everything is a spectacle and the scale that…",03 Nov 2021,9,302,12,492,0
"failed challenges challenge// (8/171)failed task-watch a film in theaters20x5 - directors// (26/100)denis villeneuve (film 5)20x5 - actors and actresses (new age)// (4/100)timothée chalamet (film 4)chain reaction challenge// (21/100)the moment finally came. after so many push backs and canceled release dates and the like, i finally got to see timothée as paul atredies. it was pretty glorious at times. but.. at times it was just okay. it's not…",29 Oct 2021,8,1975,20,3054,1975
What if I'm the Atreides of the season?,25 Oct 2021,8,1096,17,112,1096
"If Dune Part II: The Duneing doesn't get greenlit, I will take it personally and I WILL throw hands with WB.",24 Oct 2021,0,2592,26,165,2592
"Paul:""It’s recycled water from the tent - sweat and tears.""Me:""and piss.""no one ever mentions the piss.",24 Oct 2021,9,3365,2,286,3365
"“I must not fear. Fear is the mind-killer.”It lived up to the hype. And the hype was high.Despite its dense script and unimaginable scale,Duneremains one of the most cohesive and comprehensible films I’ve seen of it’s kind, and I say that loosely. Because there is, truly, nothing I have seen that is like this. Nothing matches it’s mixture of peak blockbuster cinema and art house sensibilities, and nothing has truly made me feel this way in a…",23 Oct 2021,9,973,1,131,0
"لا يخفى على الكثير أنّي معجب… ربما معجب لا تكفي لوصف الحقيقة، وهي إني عاشق لأعمال ""ڤيلانوف""، أرى أن أعماله عادة ماتكون شخصية بشدة، تلامس المشاهد وتتشابك معه وكأنّها تتحدث إليه. دائمًا ما يكون أساس أفلامِه شخصياتهُ الرئيسية، كلّ شيء آخر يحدث ماهو إلّا أدوات جانبية لمساعدتنا على فهم مشاعر هذه الشخصيات. هذا بالنسبة لي ما يجعل فيلمًا، فيلمًا لديني ڤيلانوڤ.حسنًا، بعد كل الهراء والفلسفة المكتوبة بالأعلى لتوضيح نقطتي، فيلم ""كثيب"" ليس فيلم ل""ڤيلانوف""، نعم. يصل المرءُ مع مرور…",24 Sep 2021,9,2369,1,129,2369
i need to watch the sequel NOW,24 Jan 2024,8,4469,102,6786,4469
"I guess this really isthereference 4k bluray in my collection. Know how I know? Because I felt like I wanted to be blasted away, disintegrated by sound and vision, stupefied and rattled in a really good way, and I once again turned to Dune. I reviewed ita bunch of timesbefore so peep those if you want some insight. Right now, I'm just here to bellow amazement at how thoroughly this movie achieves sumptuous sensory overload, even…",03 Jun 2023,9,3196,25,404,3196
A lot of parallels here mirroring the tragic life of X Æ A-12 Musk,01 Apr 2022,9,4889,49,236,4889
Weird disconnected & meditative psychedelia laced with unwieldy overpowering brutalist architecture is about as pure of an adaption of Herbert’s original novel as you can get. How good is it to have something produced on this level that lets you simply breath it’s world in this much! The movies!,04 Dec 2021,9,4889,49,236,4889
"A grim, moody sci-fi tragedy about destiny, power, and imperialism. Denis Villeneuve’s worldbuilding and tone-setting outdo his storytelling here, which is strange considering the movie’s lack of emotional resonance — but every scene looks great and sounds greater, so it’s tough to be disappointed by its spectacle. The marketing’s insistence on comparing this toLord of the RingsandStar Warswill undoubtedly leave many feeling dissatisfied, however, as it never attempts to echo either series’ sense of optimistic wonder or interpersonal…",22 Oct 2021,8,3420,76,174,3420
a small desert mouse is something that can actually be so personal,27 Oct 2021,9,1411,13,882,1411
LET THE SPICE FLOW.,26 Oct 2021,8,2293,45,219,2293
"Yeah I saw it again, you should too",25 Oct 2021,9,328,1,18,3797
"An extraordinary quantity of Movie-with-a-capital-M; you feel every frame of the running time, but it seems like that was part of the strategy, making the weight of the images and the pacing bear down upon you with all the grandeur that the book put across with its endless worldbuilding, something any film would have to get to indirectly. It is exhausting to watch, feeling like an endless plunge into the inhumane trudge of history unfolding as it must. I wouldn't…",23 Oct 2021,7,11638,108,94,11638
honestly maybe I should consider donating to those popups on wikipedia since they end up explaining so many movies to me...,23 Oct 2021,8,1346,20,160,1346
"Dune is Directed by Denis Villeneuve and Stars Timothée Chalamet and Rebecca Fergunson. It's about Paul along with his Family being thrown into a war in a deadly desert planet. With Part Two not too far away, i figured now would be a good to time watch it and i had high expectations for this mainly for its director who did the incredible Blade Runner Sequel and with this i'd say its on a similar level.The story is great,…",31 Jan 2024,9,127,19,2434,2434
"Took a solo trip to NYC for the rerelease so I could see a sneak preview of Part 2…but I got sick and had to leave early. So yeah, I’m sad.",25 Jan 2024,9,700,39,6634,6634
"The experience of watching Dune at the theatre was magnificent. It's like witnessing cinema evolve and that in the mesmeric enchantment of IMAX. But one side effect it had was being so overwhelmed by its visual and auditory splendor that it was hard to fully comprehend every layer of its mythical, extensive storytelling and worldbuilding. It's so rich of detail, it's so palpable. It's a world so fully realized, with stunning setpieces and imagery, bringing every inch of Arrakis to…",28 Jan 2022,0,2533,46,2252,2533
"Dune is more of an experience than a movie. Sitting there and letting yourself be consumed by the world, the sound, the immense scale, the politics, religions, and characters is just a whole new cinematic experience. Second viewing made me see some more details I missed and that’s always a good sign. I saw this a second time in my living room via HBO Max, and even though it didn’t live up to the imax experience, it was still amazing.…",01 Nov 2021,0,868,5,1277,1277
half a star removed for cutting josh brolin's baliset scene,29 Oct 2021,9,1581,5,22,1581
"Tensão sexual entre mãe e filho suficiente para ruborizar Nelson Rodrigues e decisões que impactam o destino interplanetário baseadas em poluição noturna. Ritmo péssimo. Uso de câmera lenta mais besta que vejo em anos. Música inexpressiva. Algumas sequências e visuais particularmente interessantes por vezes quase salvam o conjunto. Oscar Isaac barbudo chega perto de passar alguma credibilidade em toda a premissa de aristocracia espacial (melhor representada em ""O Destino de Júpiter"", ainda que eu também não goste do filme das…",23 Oct 2021,5,3429,20,229,3429
A LOT to unpack here that i’ll leave to my 3am delusional brain and youtube explanation videos. pretty great though. hot and sexy cast was simply a plus.,21 Oct 2021,9,824,49,85,5413
Ok I’m gonna go for a non-spoiler brain dump. Also I’ll preface that I’m writing this on my subway home from just having watched so I haven’t necessarily let it sink in yet but I’m just excited.- 5 stars is not because I think it was perfect but because it was probably the best experience I’ve ever had watching a movie in a theatre. It was epic in every sense of the word.- Visually overwhelming in the best…,11 Sep 2021,0,773,19,234,1231
"Part One?!?!?!?A movie with characters that shout ""We are not relatable at all. This Is not grounded even for a second"".Me watching people with problems light Years from mine, dealing with huge events and no possible mirror of my Life. Even the native low level people are way above me.Still what a movie, what a sensational narrative power to establish a world from skratch relying on visual cues. It exploits all the arts that make a film (music, architetture, costume, visuals...) to try and make the ultimate auteur blockbuster.Auteur-buster",03 Sep 2021,8,1072,25,41,1072
"Ez nem egy review, hanem egy reklám, szóval bocs. De gondoltam érdekelhet a dolog: tegnap óta kapható az új Prizma-sorozat (Wiseman, Reichardt, P. T. Anderson, Villeneuve) az Írók boltjában. Amúgy kedvelem a Dűnét, sokat nyomultam annak idején a számítógépes játékkal (Dűne 2) is, aminek a brutalista formatervezése tökre visszaköszön a filmben. Nemes Z. Márió gótika felől közelítő elemzése pedig tök izgalmas nézőpontokat behoz ehhez, szóval érdemes elzarándokolni az Oktogonra.https://irokboltja.hu/konyv/prizma-mini-03-denis-villeneuve/",ichterpeter,0,768,61,72,0
"“Here I am. Here I remain.”Paul Atreides you’re so very real to me, because I too have dreams of my girl. Come for one of the greatest sci-fi visions put out there — both in Herbert’s original text and in Villeneuve’s first-part adaptation — stay for that awe-inducing sneak peak of Part Two, where you can freak out about Austin Butler showing up on the big screen. Truly one of the greats to me, in the vast scale and…",10 Feb 2024,0,4512,41,370,4512
"couldn’t stop thinkin about my man anakin skywalker and how if he wasn’t already dead, this movie would’ve killed him",15 Apr 2022,7,508,15,1253,1253
"it is 100% essential for those who are able, to go see this at imax. you are doing yourself a disservice to choose not to see it on the biggest screen possible with sound you can physicallyfeel!!! hans zimmer’s score and denis villeneuve’s visuals implore you to do this!!! desert fucking power!!!!",29 Nov 2021,9,1942,27,152,1942
"Absolutely loved the intense experience. The score was probably my favorite aspect, with the imagery being a close second.I couldn’t give it 5 stars because of the obvious flaws. One of the biggest being its struggle with being personal. However, it also seems like the book was so dense that some characters missed out on the ability to have personal story lines in favor of fitting the main plot points in the run time of the movie. Maybe should have been told in 3 or 4 parts 🤡",06 Nov 2021,9,94,4,283,0
"An old ghost,the quest for cosmic justice, has been haunting kitchen table politics lately, soDuneis a valuable reminder through blockbuster spectacle: there really is nothing new under the sun, or moon(s). As written by Herbert and displayed by Villeneuve in their monumental drama of the cosmos, with humanity always to the end of the age (even to 10191) is his nature: legitimation of authority by ceremony, political gamesmanship of empire, suffering and its resulting resentments, and most…",30 Oct 2021,8,1563,4,176,1563
Rebecca Ferguson trapped under a duneWoman in the Dunes (1964),26 Oct 2021,0,1597,5,283,1597
"the only word comes to mind to describe this masterfully crafted piece of Cinema is ""Glorious""part two Denis, please hurry king",24 Oct 2021,9,1326,38,225,1326
"ᑐ ᑌ ᑎ ᕮ2021 List: https:boxd.it/b5pgSReview of Book:boxd.it/1DCt9h2020 was a year that lasted for all of us, we suffered physically, psychologically and in health as well. For me it was a peculiar year that I took it with reflection. At that moment my taste for science fiction began like Balde Runner, Arrival, 1984, Mad Max Fury Road, Inception and many more films.But the New movie that Denis Villeneuve was about to make ""DUNE"" came…",23 Oct 2021,0,2934,41,1372,2934
"Dune is definitely a spectacle, and a sight to behold, but is it anything more than that?This movie is categorically a ‘Part One’ and in a lot of ways, fails to tell a satisfying story - this is the main disappointment for me.A New Hope and Fellowship of the Ring are two movies built on a similar scale to this, and are the first instalments of epic sagas - just like this - but unlike Dune they both…",18 Oct 2021,7,897,7,35,2894
oh my god this was everything i was hoping it'd be,14 Oct 2021,9,1213,3,1285,1213
"i could’ve sat in this for 4 hours, haven’t felt this immersed in a movie for years. so much to love in this movie that i can’t put in a coherent fashion but see it on the biggest screen u can.",05 Oct 2021,9,1509,46,466,1509
WOW. Deze film is echt zo goed als al die mensen zeggen. Elk beeld is een schilderij. De acteurs zijn geweldig. De regie is van ongekend niveau. Als je het zo ziet dan zie je hoeveel George Lucas van Dune heeft gepikt toen hij Star Wars verzon. Dat inzicht had ik niet na die wel leuke rare kitsch film van Lynch. Misschien moeten we heel blij zijn dat Jodorowsky de film nooit maakte en dat de Lynch versie is wat…,27 Sep 2021,9,3538,31,51,3538
"Where Lynch’sDunefelt like a “seventh-grade science project run amok” (to quote the great J. Hoberman), Villeneuve‘s experiment succeeds in mechanical perfection. I see it, I know it’s not real, but Ibelieve. Grandiose visual splendor in a larger-than-life fashion we’ve come to expect from Villeneuve (and perhaps have been spoiled by Nolan’s lofty odysseys, too).Dunesets a technical standard & exceeds it.Unfortunately, the wonder stops there. I’m in a weird thought process purgatory regarding any other aspect. Is the movie…",20 Nov 2021,6,2151,42,75,2151
"I say this realising exactly how you weirdos are going to misinterpret it, but here we go anyway - imagine the size of Denis Villeneuve's clout. It's not just that he's managed to make the first of a two-part blockbuster-scale adaptation of a novel that has famously resisted adaptation. It's that he's done it in a way that flies in the face of how Hollywood blockbusters usually achieve their world-building - and Frank Herbert'sDuneis a film where the…",03 Nov 2021,8,3802,50,505,3802
"I’m kicking myself for not seeing this in theaters. I feel like I’ve committed a crime. I’ll justify it by saying I watched with my home theater system on full blast. I’m one of those that enjoyed Lynch’s version ofDunewith all of its flaws and studio meddling, but Villeneuve’sDuneis on another level. If he keeps churning out sci-fi films like he has withArrival,Blade Runner 2049and now theDuneseries then he’ll be regarded…",13 Nov 2021,7,3103,27,195,3103
"At the end of the movie, to signify that there would be a sequel, a character says ""This is only the beginning.""Not for me. I was done. This is definitely the end.",Leon Thomas,4,2576,29,5,2576
"this is no masterpiece, y’all are just dune bad for zendaya and timmy",23 Oct 2021,2,8071,49,182,8071
someone give oscar isaac a breath mint,22 Oct 2021,8,1255,28,110,1255
i'm not even surprised that rebecca ferguson was the MVP of this!!,21 Oct 2021,7,3435,39,882,3435
"Curioso, tem muitas semelhanças com Halloween Kills, último lançamento assistido. Se esse último sacrifica seu desenvolvimento ao fixar-se na zona intermediária entre dois filmes, a primeira parte de Duna tem o objetivo de servir como base para a vindoura sequência. Lá se vão horas de didatismo contextualizando o panorama geral desse universo, suas leis constituintes, seus diferentes povos e respectivas ambições, enfim, o fundo, juntamente a vislumbres caquéticos de um pressagio gradativamente confirmado. Ainda mais curioso é o fato de…",18 Oct 2021,3,3811,19,54,3811
"DassDuneunter Villeneuve und mit Hans Zimmer als Komponist mindestens fantastisch werden würde, stand für mich von vornherein außer Frage. Dass mich der Streifen jedoch in dem Umfang von den Socken hauen würde, hat mich dann doch ein wenig überrascht.Ich mochte Lynchs Werk von 1984. Sehr. Doch kann man diesem wohl nicht absprechen, in der damaligen Zeit sehr (über)ambitioniert und vor allem sperrig in seiner Erzählweise gewesen zu sein. Nichts davon trifft auf die 2021er Version zu. Dabei…",19 Sep 2021,0,2503,14,131,2503
"Denis the first Quebecois boy to get it poppin. Part II sneak-peek looks crazy, he's cookin with gas.Also the Part II clip after the re-release, Cameron the blueprint...",11 Feb 2024,0,706,31,199,0
"Now I’ve seen this in the cinema, I can die happy 😌",11 Feb 2024,9,751,56,333,0
"I potentially underrated this on first watch? A week ago at work when I had free time I read the plot synopses of all the Dune books, which luckily I don’t remember the big dramatic beats of because my brain is talented at forgetting that stuff, and I went on a Wikipedia wormhole of all the Dune Lore and that made this watch so much better than my first one where I had no fuckin clue what I stepped into.…",10 Feb 2024,0,1396,34,267,1396
"first time i watched dune where i got that overwhelming sense of passion and love that went into making this. you can physically feel the care and time put into this... it's insane! can't wait for the sequel! movies are better on the big screen, always.",11 Feb 2024,9,1052,76,557,1052
"I missed out on seeingDunein theaters back in 2021 and regretted it. And now seeing it in a movie theater was such an otherworldly and amazing experience experience. Love this movie ever since I watched it for the first time and it’s still the case. Movie’s directed so well, the soundtrack bangs so hard and the characters & writing is amazing and of course is a visual spectacle from start to finish. I cannot wait for Part Two!",10 Feb 2024,0,2740,66,183,2740
"First time I’ve seen this since it released and I saw it on an even bigger IMAX screen then I did before and by god, my jaw was on the floor. Everything is just as perfect as I remembered, if not better. One of the best of the decade so far and I cannot fucking wait forPart Two. Bless the maker and his water #DUNESWEEP #DESERTPOWER",09 Feb 2024,0,1749,13,242,1749
Completely annihilates the 1984 movie in everything it does. I shouldn’t have watched this so soon because now I’m angry again remembering that we won’t get part 2 for another couple months. The disrespect that Hollywood has for this and the next movie is truly disgusting when these movies are probably some of the best films of the decade already.,04 Sep 2023,9,2170,57,44,2170
"Little pre game for Lawrence of Arabia Round 2.I am IN love with this film. The desert hasn't looked this majestic, this intoxicating and alive, since Lawrence of Arabia. Can't believe there was a time where I used to dislike Dune...genuinely embarrasses me every time I think about it because not only is it perfect but like...it's one of the greatest of all time. Just fucking FLAWLESS.",14 Jul 2023,0,740,15,89,1842
My dogs barked at the TV when they were speaking sardaukar,16 Jun 2022,0,834,7,23,5352
in a beautiful parallel universe this is a best picture winner,zanzio 💀👻🤡🎃,0,2082,45,163,2082
"I have now, finally, witnessed Denis' epic adaptation of, one of, my all time favourite science fiction novels. On first watch, my expectations were met. However, not exceeded. I think within this medium, this is as close an adaptation we can get to the extremely dense and thematically heavy text. To my surprise however, the film felt as though it lacked any exposition whatsoever. And despite a few changes, it felt almost like a two and a half hour highlight…",02 Dec 2021,0,2418,22,395,2418
Fear is the mother fucking mind killer,02 Dec 2021,9,5093,55,1442,5093
"This might prove to be an unpopular opinion amongst Herbert fanatics, but I think this film arguably does a better job at setting the stage and establishing narrative context than the book does. The latter is still fresh on the mind from a recent read through, and if I’m perfectly honest, I found it hard to penetrate in its early chapters. I did eventually warm to Herbert’s particular style, and grew increasingly more involved in the story and more immersed…",02 Nov 2021,8,2487,43,73,2487
Ladies are dune it for themselves!,30 Oct 2021,0,1031,11,105,1031
this is so great i’m not even going to lie and atreides family is so hot,29 Oct 2021,9,1382,20,3920,1382
"Watched this in big screen and that was a wholesome experience.Cinematography had the Villeneuve mark, so nothing to comment there. Music score was fantastic as it could maintain the appropriate emotions really well. Costume designing was notable too.This movie had some new concepts and I loved them. Loved that body shield and how they fight with it and those dragonfly model space crafts.At some parts the movie gave Game of thrones like feeling to me.More than satisfied with the movie.",26 Oct 2021,0,1235,18,1046,1235
No mention of the aeons-spanning Schnoobian genocide or how Arrakis’ state of the art plumbing system works. Where was Pilsner? Where was Scratt?? Paul’s adventures in the Gombo room were totally glossed over. Terrible adaptation HollyWood try a little harder next time.,eMoviePussy,2,132,3,62,0
"Ethereal, Spellbinding, Riveting and completely Overwhelming. The most telling thing about what I now consider Denis Villeneuve's Magnum Opus,Duneis the fact that my father who has been completely dissatisfied and bored by almost every film we've seen in theaters for the past two years said to me at the intermission, ""I have no idea how they pulled those shots off, I was left completely speechless"".The imagery here is just awe inspiring. Especially in the first half, the…",22 Oct 2021,8,1395,5,311,1395
"I loveDune!I have lots to say and I'm going to hold off on reviewing this until I see it a second time.The score, by the great Hans Zimmer is incredible. By both complementing the film and shaking up the recent slew of meodiocre or underwhelming film scores of 2021, Zimmer manages to create one of the most unique soundtracks for a film in quite a while, more importantly for a film this massive, both in scope and…",21 Oct 2021,9,4091,28,25033,4091
"Dune harika bir romandır. Galaksiler arası imparatorluk yönetiminin nasıl işlediğini, dinin politikayı nasıl yozlaştırdığını kusursuz bir şekilde anlatılır.Denis Beyciğimizde ne yapıp edip birinci kitabı ortadan ikiye bölerek ilk yarısından muazzam bir iş çıkarmayı becermiş. Biçim bakımından film, tam anlamıyla görsel şölendi. Prodüksiyon dizaynının Blade Runner: 2049’da olduğu gibi minimal olduğu ve sinematografinin adeta sahneden sahneye sürreal tablolara benzediğini söylesem de, kelimeler yine de kifayetsiz kalır. Mutlaka meraklısının deneyimlemesi lazım.Kitabın adapte edilme şeklinden de uzun zamanlı bir Dune okuru…",19 Oct 2021,9,1509,12,18,1509
Everyone in this movie has crazy names and Timothée Chalamet is named Paul 😂,17 Oct 2021,7,7729,103,499,7729
Everything I’d hoped for.But nothing more.,17 Oct 2021,8,7488,73,1273,7488
"""Dreams make good stories, but everything important happens when we're awake.""I couldn't be more glad that I have decided to giveDuneanother go since the first time I have tried watching it, I got bored after about 30 minutes as I didn't really understand the concept of the story and what was going on exactly along with not being able to fully immerse myself into this world. It was great that I have decided to not only watch…",04 Nov 2021,7,943,15,45,0
